retailer,machineId,address,city,state,latitude,longitude
Fred Meyer,Q00832,2500 Santiam Hwy SE,Albany,OR,44.6307376,-123.0755386
Safeway,Q00826,6055 SW 185th Ave,Aloha,OR,45.4755956,-122.8687486
Safeway,Q00855,20535 SW Tualatin Valley Hwy,Aloha,OR,45.4967965,-122.8883761
Fred Meyer,Q00138,11425 SW Beaverton Hillsdale Hwy,Beaverton,OR,45.4880972,-122.7944989
Fred Meyer,Q00140,15995 SW Walker Rd,Beaverton,OR,45.5189107,-122.84174
Safeway,Q00201,14555 SW Teal Blvd,Beaverton,OR,45.4423814,-122.826856
Safeway,Q00205,6194 SW Murray Blvd,Beaverton,OR,45.4749916,-122.8251839
WinCo Foods,Q00959,3025 SW Cedar Hills Blvd,Beaverton,OR,45.4980751,-122.8101363
Fred Meyer,Q01009,15995 SW Walker Rd,Beaverton,OR,45.5189107,-122.84174
Fred Meyer,Q01011,11425 SW Beaverton Hillsdale Hwy,Beaverton,OR,45.4880972,-122.7944989
Fred Meyer,Q00151,1401 SE 1st Ave,Canby,OR,45.2668422,-122.6763584
Safeway,Q00816,1051 SW 1st Ave,Canby,OR,45.2554512,-122.7025632
Fred Meyer,Q00150,16301 SE 82nd Dr,Clackamas,OR,45.4047513,-122.5689977
Safeway,Q00204,12032 SE Sunnyside Rd,Clackamas,OR,45.4282142,-122.5403246
Fred Meyer,Q00997,16301 SE 82nd Dr,Clackamas,OR,45.4047513,-122.5689977
Fred Meyer,Q00782,2200 E Baseline St,Cornelius,OR,45.5201181,-123.0696372
WinCo Foods,Q00736,2335 NW Kings Blvd,Corvallis,OR,44.5905409,-123.2759149
Safeway,Q00952,590 NE Circle Blvd,Corvallis,OR,44.5870061,-123.2508837
Safeway,Q01321,5270 SW Philomath Blvd,Corvallis,OR,44.5504252,-123.3087431
Safeway,Q01318,1500 E Main St,Cottage Grove,OR,43.7985817,-123.0521857
Safeway,Q00883,138 W Ellendale Ave,Dallas,OR,44.930701,-123.3125634
Fred Meyer,Q00913,60 Division Ave,Eugene,OR,44.0980297,-123.1263771
Fred Meyer,Q00946,3333 W 11th Ave,Eugene,OR,44.049655,-123.1429418
Albertsons,Q01121,55 Division Ave,Eugene,OR,44.1004956,-123.128396
Albertsons,Q01294,311 Coburg Rd,Eugene,OR,44.0646115,-123.0738716
Safeway,Q01307,1500 Coburg Rd,Eugene,OR,44.0777564,-123.0702909
WinCo Foods,Q01366,4275 Barger Dr,Eugene,OR,44.0863415,-123.1693095
Albertsons,Q01367,4740 Royal Ave,Eugene,OR,44.0686921,-123.1793732
Albertsons,Q01370,1675 W 18th Ave,Eugene,OR,44.0414621,-123.116834
WinCo Foods,Q01798,2815 Chad Dr,Eugene,OR,44.0921726,-123.0668605
Safeway,Q00779,2836 Pacific Ave,Forest Grove,OR,45.5196274,-123.0954281
Safeway,Q01124,95 82nd Dr,Gladstone,OR,45.381661,-122.5818888
Fred Meyer,Q00190,2497 SE Burnside Rd,Gresham,OR,45.4959611,-122.4053845
Safeway,Q00195,1455 NE Division St,Gresham,OR,45.5058669,-122.416981
Safeway,Q00220,1001 SW Highland Dr,Gresham,OR,45.4890481,-122.4768357
WinCo Foods,Q01322,2511 SE 1st St,Gresham,OR,45.4988484,-122.4076108
Fred Meyer,Q00191,8955 SE 82nd Ave,Happy Valley,OR,45.458402,-122.5811103
Fred Meyer,Q00202,17005 SE Sunnyside Rd,Happy Valley,OR,45.4283857,-122.4877345
Fred Meyer,Q00887,8955 SE 82nd Ave,Happy Valley,OR,45.458402,-122.5811103
WinCo Foods,Q00957,11250 SE 82nd Ave,Happy Valley,OR,45.4437154,-122.5777463
Fred Meyer,Q00146,6495 SE Tualatin Valley Hwy,Hillsboro,OR,45.5001422,-122.914697
Fred Meyer,Q00156,6495 SE Tualatin Valley Hwy,Hillsboro,OR,45.5001422,-122.914697
Safeway,Q00192,2177 NW 185th Ave,Hillsboro,OR,45.5360423,-122.8698787
WinCo Foods,Q00766,7330 NE Butler St,Hillsboro,OR,45.5354188,-122.9030182
WinCo Foods,Q00770,1500 SW Oak St,Hillsboro,OR,45.5184074,-123.0063133
Fred Meyer,Q00847,22075 NW Imbrie Dr,Hillsboro,OR,45.550252,-122.9003858
Albertsons,Q00949,7500 SW Baseline Rd,Hillsboro,OR,,
Albertsons,Q00954,888 NE 25th Ave,Hillsboro,OR,45.5300904,-122.9549023
Safeway,Q00962,2525 SE Tualatin Valley Hwy,Hillsboro,OR,45.5059536,-122.9543609
Safeway,Q01305,1755 Ivy St,Junction City,OR,44.2292899,-123.206773
Safeway,Q00996,4990 River Rd N,Keizer,OR,44.9962507,-123.0239091
WinCo Foods,Q01802,5450 River Rd N,Keizer,OR,45.0032928,-123.0252277
Safeway,Q00822,17779 Lower Boones Ferry Rd,Lake Oswego,OR,45.3985746,-122.7418261
Albertsons,Q01067,16199 Boones Ferry Rd,Lake Oswego,OR,45.4094843,-122.722923
Safeway,Q01362,1983 S Main St,Lebanon,OR,44.5393654,-122.9070428
WinCo Foods,Q00716,2585 NE OR-99W,McMinnville,OR,,
Albertsons,Q01008,615 SW Keck Cir,McMinnville,OR,45.1966615,-123.2041793
Safeway,Q00837,2490 N OR-99W,Mcminnville,OR,,
Safeway,Q00137,14840 SE Webster Rd,Milwaukie,OR,45.4156435,-122.5911104
Safeway,Q01122,4370 SE King Rd,Milwaukie,OR,45.4475939,-122.6174276
Safeway,Q01113,1524 W Main St,Molalla,OR,45.1477212,-122.5788449
Fred Meyer,Q00884,3300 Portland Rd,Newberg,OR,45.3056678,-122.9439765
Fred Meyer,Q00894,3300 Portland Rd,Newberg,OR,45.3056678,-122.9439765
Safeway,Q01115,1140 N Springbrook Rd,Newberg,OR,45.3086213,-122.9453565
Fred Meyer,Q00843,14700 SE McLoughlin Blvd,Oak Grove,OR,45.4168795,-122.6307305
Fred Meyer,Q00998,14700 SE McLoughlin Blvd,Oak Grove,OR,45.4168795,-122.6307305
Albertsons,Q01452,1410 Westpark Plaza,Ontario,OR,44.0246557,-116.9854709
WinCo Foods,Q01706,1630 E Idaho Ave,Ontario,OR,44.0231004,-116.941959
Fred Meyer,Q00141,1839 Molalla Ave,Oregon City,OR,45.3313528,-122.5837071
Safeway,Q01116,13434 Colton Pl,Oregon City,OR,45.3343277,-122.5909944
Albertsons,Q01304,19007 S Beavercreek Rd,Oregon City,OR,45.3339526,-122.5878816
Fred Meyer,Q00113,1111 NE 102nd Ave,Portland,OR,45.5304951,-122.5602559
Safeway,Q00119,13485 NW Cornell Rd,Portland,OR,45.5277549,-122.8143898
Safeway,Q00120,4515 SE Woodstock Blvd,Portland,OR,45.4799479,-122.6159604
Fred Meyer,Q00133,3805 SE Hawthorne Blvd,Portland,OR,45.51245,-122.6237023
Fred Meyer,Q00145,14700 SE Division St,Portland,OR,45.5027581,-122.51209
Fred Meyer,Q00149,11565 SW Pacific Hwy,Portland,OR,45.443049,-122.7430326
Fred Meyer,Q00153,3030 NE Weidler St,Portland,OR,45.5328969,-122.6348475
Fred Meyer,Q00154,6850 N Lombard St,Portland,OR,45.5859593,-122.7378531
Fred Meyer,Q00162,7404 N Interstate Ave,Portland,OR,45.5758811,-122.6809329
Fred Meyer,Q00166,6850 N Lombard St,Portland,OR,45.5859593,-122.7378531
Fred Meyer,Q00172,6615 NE Glisan St,Portland,OR,45.5275785,-122.5959108
Fred Meyer,Q00184,7404 N Interstate Ave,Portland,OR,45.5758811,-122.6809329
QFC,Q00187,7525 SW Barnes Rd,Portland,OR,45.5157387,-122.7549753
Fred Meyer,Q00188,7555 SW Barbur Blvd,Portland,OR,45.470568,-122.6900244
Safeway,Q00211,6901 NE Sandy Blvd,Portland,OR,45.5475881,-122.5927066
Safeway,Q00215,5920 NE Martin Luther King Jr Blvd,Portland,OR,45.5659307,-122.6601305
Safeway,Q00226,3930 SE Powell Blvd,Portland,OR,45.4972852,-122.6219593
Safeway,Q00258,3527 SE 122nd Ave,Portland,OR,45.4961784,-122.5392348
Fred Meyer,Q00262,7555 SW Barbur Blvd,Portland,OR,45.470568,-122.6900244
Safeway,Q00797,2800 SE Hawthorne Blvd,Portland,OR,45.5116358,-122.6374495
Safeway,Q00813,8330 N Ivanhoe St,Portland,OR,45.5877542,-122.753275
QFC,Q00818,4756 NW Bethany Blvd,Portland,OR,45.5535026,-122.8351092
Safeway,Q00830,1100 NE Broadway,Portland,OR,45.5347254,-122.6541471
Fred Meyer,Q00846,14700 SE Division St,Portland,OR,45.5027581,-122.51209
WinCo Foods,Q00955,7979 SE Powell Blvd,Portland,OR,45.4984174,-122.581281
WinCo Foods,Q00966,1222 NE 102nd Ave,Portland,OR,45.5311403,-122.5563894
Fred Meyer,Q00990,11565 SW Pacific Hwy,Portland,OR,45.443049,-122.7430326
Fred Meyer,Q00999,6615 NE Glisan St,Portland,OR,45.5275785,-122.5959108
Fred Meyer,Q01006,7700 SW Beaverton Hillsdale Hwy,Portland,OR,45.4853519,-122.7560611
Fred Meyer,Q01010,100 NW 20th Pl,Portland,OR,45.5241958,-122.6928325
Albertsons,Q01127,451 NE 181st Ave,Portland,OR,45.5254933,-122.479011
Albertsons,Q01130,5850 NE Prescott St,Portland,OR,45.5543276,-122.6027448
WinCo Foods,Q01359,1950 NE 122nd Ave,Portland,OR,45.5366095,-122.5360131
WinCo Foods,Q00769,4575 Commercial St SE,Salem,OR,44.8878713,-123.0347141
Safeway,Q00821,5660 Commercial St SE,Salem,OR,44.8729748,-123.0221002
Fred Meyer,Q00833,3450 Commercial St SE,Salem,OR,44.906181,-123.0409659
Safeway,Q00848,1455 Edgewater St NW,Salem,OR,44.9392309,-123.0633924
Fred Meyer,Q00882,3740 Market St NE,Salem,OR,44.948392,-122.9861254
Fred Meyer,Q00891,3740 Market St NE,Salem,OR,44.948392,-122.9861254
Safeway,Q01001,1265 Center St NE,Salem,OR,44.940798,-123.0242637
Safeway,Q01002,3380 Lancaster Dr NE,Salem,OR,44.9686316,-122.9819389
Safeway,Q00179,37601 US-26,Sandy,OR,45.4000115,-122.2768179
Fred Meyer,Q00189,16625 362ND Ave,Sandy,OR,45.4027381,-122.2924728
Fred Meyer,Q00876,51501 Columbia River Hwy,Scappoose,OR,45.7419142,-122.8783276
Safeway,Q00209,20685 SW Roy Rogers Rd,Sherwood,OR,45.3696518,-122.8452226
Safeway,Q01120,301 Westfield St,Silverton,OR,45.0032624,-122.793922
Fred Meyer,Q00909,650 Q St,Springfield,OR,44.0633599,-123.017697
Albertsons,Q00951,2000 Marcola Rd,Springfield,OR,44.0656619,-122.9949334
Albertsons,Q01128,5755 S Main St,Springfield,OR,,
Safeway,Q01349,1891 Pioneer Pkwy E,Springfield,OR,44.0646809,-123.0265015
Safeway,Q01135,1535 N First Ave,Stayton,OR,44.8057506,-122.7960251
Safeway,Q01131,1540 Main St,Sweet Home,OR,44.399438,-122.7257048
Safeway,Q00587,15570 SW Pacific Hwy,Tigard,OR,45.4071732,-122.7927903
WinCo Foods,Q01324,7501 SW Dartmouth St,Tigard,OR,45.4351766,-122.7536303
Albertsons,Q00844,25691 SE Stark St,Troutdale,OR,45.5202982,-122.4002583
Fred Meyer,Q00123,19200 SW Martinazzi Ave,Tualatin,OR,45.3811034,-122.757282
Safeway,Q00246,22000 Salamo Rd,West Linn,OR,45.3645643,-122.647542
Fred Meyer,Q00163,30300 SW Boones Ferry Rd,Wilsonville,OR,45.3009037,-122.7707927
Safeway,Q00182,8255 SW Wilsonville Rd,Wilsonville,OR,45.3044127,-122.7625186
Fred Meyer,Q00183,22855 NE Park Ln,Wood Village,OR,45.5302734,-122.4287042
Safeway,Q01132,1550 N Pacific Hwy,Woodburn,OR,45.1501533,-122.8296205
